,ID,text,labels
21,1260258769524662276t,the lady who gives the animals vaccines didn ’ t even know that Aluminum AND Formaldehyde which are HARMFUL ingredients are in all vaccines kinda sounded confused .. exactly they don ’ t teach facts about vaccines in school they ’ re poison and can cause illnesses ! #vaccinesArePoison,ingredients side-effect
22,1373336298400940041t,"Denmark reported that two people experienced brain hemorrhages after receiving the AstraZeneca Covid vaccine , one of whom died . Danish authorities are investigating whether or not these were direct side effects of the vaccine . ",side-effect
23,1265171379327918080t,"  One of the world ’ s leading eugenicists , implicated in 1000 ' s of deaths , cases of infertility , and paralysis , following vaccination programs in Africa ( Unicef ) and India ( BMG foundation ) ; has now handed Novavax 388 $ Mil through his CEPI cause for the Covid _19 vaccine drive .",side-effect
24,1331396422197940225t, Without any large - scale clinical trials ! I certainly won't be using it . I'd prefer Covshield or Covaxin . Sputnik is in no way acceptable .,rushed
25,1353753839136980994t, My 70 year old relative recovered from Covid and had a horrible reaction to the Moderna vaccine,side-effect
26,1344402390162804740t,"   MHRA had to even do the warnings about reactions from the Pfizer vaccine , which Pfizer never tested for . I'm going to stick with the MHRA on this one . lol",rushed side-effect
27,1287535686514544640t," The leading company Moderna has never produced any approved drug "" EVER "" your bodies cells will be changed forever , think about that ! If you have a weak immune system will you produce antibodies ? Will you have a hyper inflammatory response ? serious questions about this vaccine",side-effect
28,1376588715628261376t,"When Michiganders get a Johnson & Johnson #COVID19 #vaccine paid for with certain federal funds , a new state law mandates that they must be informed that it was developed using a stem cell line from an aborted fetus .  via ",ingredients
29,1316064478837043201t,This is why it takes long time to make safe vaccine . Johnson & Johnson pauses covid - 19 vaccine study for ‘ unexplained illness ’ This is SECOND TIME in just a few weeks that a big potential vaccine trial had to shut down bc it caused unexplained illness ,side-effect
30,1332858597265399808t, Pfizer is pretty comfortable too with every one getting a vaccine . This is a business . This is not about health .,pharma
31,1326550067373776896t,2 ) ... scuppered it at the Congress of Vienna in 1817 . When they get the chance these psychos will make what occurred in the Russian Revolution look like a warm up ! I for one will not submit to any vaccine .,none
32,1374833006037377024t," Clearly not following the science or data then . Even last year , without any vaccinated , there was no study or data to suggest pubs , restaurants or gyms were areas of viral spread . This is just about control and a coercive way to get all under 40 ’ s to take a vaccine they dont need",unnecessary
33,1354305622225932288t," as i know even in rich developed countries they still don't provide insurance with that vaccines , there's a cases of deaths in Russia from Sputnik vaccine which not investigated , including catching virus & death after vaccine ( Kaluga city head of state hospital death )",ineffective side-effect
34,1255471570488868874t,"     They are using the mandatory vaccination as an excuse to give you a digital ID , they are using the virus to scare individuals into doing something that they know they would not do under normal circumstances . They have always wanted to be China , as China claims they completed ...",conspiracy mandatory
35,1320037380389244930t," The trade secrets they are pouring huge amounts of money into developing . There ’ s some really shitty incentives in the system because the second vaccine to market won ’ t make much money . So there has been some pushing of ethical rules , enables by govs desperate for a vaccine",pharma political
36,1365091038533193739t, ? Vaccine ? What is in this untested whatever it is can you please tell us as surly to God you must know if you are recommending it ? You have it yet ? Your Family ? Can we know please ?    ,rushed
37,1443326944725114889t,"🇨 🇦 🔥 🚨 Shocking must see ! Alert ! Dr . Carrie Madej : First U . S . lab examines "" vaccine "" vials Horrific findings revealed "" Self aware Organism with tentacles "" 🚨 Found in Moderna Vaccine #onpoli #canpoli #VaxToTheMax #VaxToSchool #TeamToronto #TeamCanada ",ingredients
38,1122216014698074112t, please please speak with Robert Kennedy re vaccinations 🙏 🙏 🙏 Don ’ t take our constitutional rights away to choose whether to be vaccinated or not . It ’ s not the governments or the states job to force us into taking poison into our bodies .,mandatory side-effect
39,1371552949793607683t,People absolute begs for the covid vaccine sicken me especially after Spain have suspended vaccination with astrazeneca that vaccine ain't letting you go nowhere except the emergency room lmao,ineffective
40,1328011403681292290t,"Yes , & Fauci , I ’ m sure , with FDA & Pfizer rewarded Trump by waiting 2release that COVID - 19 vaccine had been developed ! Part of concerted effort to bring down President Trump ’ s second Presidency ! I will never take the fking vaccine 💉 and any vaccine arse BillGates had finger in !",pharma political
41,1254220764754018304t, I would like to know this . The SARS and MERS vaccine had a lot of problems in animal trials . The issue was re - expose caused a very strong immune reaction that killed the hosts . I am very wary of RNA vaccines . They have never been able to have a successful one in the past,rushed side-effect
42,1364600649212710919t,    These chumps think things change after the vaccine 🤣 🤣 🤣,ineffective
43,1328352438009663489t,The Moderna Covid vaccine is like a good version of the second plane hitting the World Trade Centre . It means the first one was no accident !,conspiracy
44,1357172008132386817t," Sorry for your lost Its up to everyone to think for themselves It's possible it was covid , or the vaccine , or just his time but why is it that it'll be counted as a covid death if it's not know for certain ?",ineffective
45,1364622986855256069t,"   If you've had a #covid19 ' vaccine ' ( 2doses ) , you are as ' protected ' as you can be , from a virus with a + 99 % survival rate . 0.00005 % risk to children and 0.1 % risk to healthy 65y . o . To insist healthy ' unvaccinated ' people should face restrictions is abhorrent . #NoVaxports",mandatory unnecessary
46,1339788992343121928t,I knew there was an adamant and outspoken #antivax community . What I wasn't aware of was this sadomasochistic #provax group who are creepily orgasmic over being injected with whatever #BigPharma wants to inject them with,pharma
47,1300477211800109057t, Not trusting Dr.Hann or FDA . Integrity WAS a hallmark of FDA . No vaccine for me . Don't trust the safety or effectiveness due to the moral lapses in current administration .,ineffective political side-effect
48,1319653883380174849t,"   This is her system , in it's entirety , and it doesn't even deal with the idea of there ever being an end point . It denies the existence of that eventuality , in the absense of a vaccine , which the people making have , on record , stated is highly unlikely to actually change anything .",ineffective
49,1365600143957975041t,77 Thousand reactions and 200 deaths due to vaccine . ,side-effect
50,1339562804836241410t,Further Discussion of the Red Flags in the Pfizer Vaccine Paper in the New England Journal of Medicine | naked capitalism ,pharma
51,1319471084337508353t, it's honestly not . im not antivaxxer and id love to take an actual vaccine but im very skeptical of a rushed vaccine made in like 9 months,rushed
52,1327171624366436353t,  I wouldn ’ t want a Pfizer one . If the media would report the real news . Pfizer CEO dumped 62 % of his stock on Wednesday I wonder why .,pharma
53,1321884514277380101t, ...  seem to be fully onboard for #vaccines tho ... if only we could get  talking about the madness of the #DNA #RNA altering vaccines ... and they have not even reported the injuries to volunteers on the #AstraZeneca trial,side-effect
54,1345279796721246210t,"WTF , the Butcher of UK  keeps on his fuckup the management of covid - now it's the vaccination : 1 The vaccines will be be mixed and matched 2 follow up 2nd shot not 3 weeks after , but 12 weeks Science is dead",political
55,1255076278430044160t, If they make a vaccine mandatory people will then there ’ s ulterior motive,mandatory
56,1364666557050335237t,  Nobody should be masking or ' testing children ' for #covid unless very ill . They have 0.00005 % risk from it . Concentrate on getting vulnerable & high risk ' vaccinated ' ( 2Doses ) . + 99 % of people will recover & build natural immunity . ' Cases ' data is propaganda . #NoMasksInClass,unnecessary
57,1345482007393021954t,Mexican Doctor Hospitalised After Receiving Pfizer Covid Vaccine  ,side-effect
58,1329366430551142406t,   Be interesting to see how many ideological subversed fools line up for the evil vaccine plan .,conspiracy
59,1262933557527232513t, Duturte is either working with Trump to bring down the deep state or he's really not to bright . If he is really pushing a vaccine that means he's siding with China . He'll be in huge trouble once the Truth about this covid hoax comes out .,conspiracy mandatory political
60,1358461418576752641t,Look up and listen to Dr . Vernon Coleman before you decide to get a vaccine Covid,none
61,1336383469438513154t,"To be quite honest , YES . I have the rest of my life , around 35 - 50 years on average to live with a potentially life altering and debilitating vaccine injury . The average covid death age is 82.5 . Average life expectancy is 79 - 81 . They are incredibly selfish if they expect it .",side-effect
62,1393415367163211776t,"Search Results from the #VAERS Database 74y ♂ ️ Moderna #Vaccinedeath 1 day after vaccination . "" Patient was found unconscious without a pulse . Patient remained in asystole without pulse or respirations despite CPR . "" ",side-effect
63,1300839607035138055t,    Agree . Years ago I was required to take a flu shot bc of my job . I got so sick I thought death would feel better . My doctor told my employer it wld be dangerous for me to have another flu shot . I haven't had one since & stay pretty darn healthy !,side-effect unnecessary
64,1283529923026706434t,"Coronavirus : Lockdown Deaths , Not Covid Deaths – Moderna COVID - 19 Vaccine Induced Adverse Reactions In “ More Than Half ” Of Trial Participants – Lockdowns Return Across India As COVID - 19 Cases Near 1 Million ",side-effect
65,1377392417192599553t," I know someone who's step dad died after getting the vaccine . And nobody seems to care that it'll be long term effects with it . How you gonna get injected with something and you don't know what's in it . Also , it's experimental , it was made in 9 months compared to a usual 4 years .",rushed side-effect
66,1365492388844761100t,"Thank you Darling . OK Team Humanity , here ’ s my video explanation of the terrifying new vaccine technology that turns the human body into an Operating System - reporting of fact , fact sourced in NIH , Google , MIT , that nonetheless got me kicked off Twitter for 12 hours .",side-effect
67,1374874162616020995t,"We ’ d love to see some information about what is in the vaccine does it contain aluminum does it contain nickel there ’ s just no report available , you can push the vaccine all you want but if people are afraid of it they ’ re not gonna take it . Why hasn ’ t this report already been out",ingredients
68,1342694888366878721t,I ’ ll drink fox river water before I take the covid vaccine,none
69,1321373250430054400t,  Imperial College London casts doubt on herd immunity with their flawed study ( not peer reviewed but already discredited ) . Together with the Sky News UK which promote anti - herd immunity strategies ... vaccine is the goal of the government even though they say it wont work,political
70,1377980203515965442t,"  Why in the hell do I need a vaccine , if I have already had COVID ? Did we suddenly change the rules of science ? COVID is a virus . Viruses mutate . The vaccine is not a guarantee you will not catch COVID again . Quit pushing the vaccine as the answer .",ineffective unnecessary
71,1432311487499055118t,"15 ) New Zealand has reported the country ’ s first recorded death linked to the Pfizer Covid vaccine , after a woman died following rare side effects . The information was released by the health ministry after a review by an independent Covid vaccine safety monitoring board ;",side-effect
72,1334057928236654593t,    Long term effects are what please ? Have they even been tested ?,side-effect
73,1424184844800589831t," How they test vaccines against other vaccines instead of placebos . They did this with AstraZeneca outside of the US . They do this to hide adverse events . They do this with the childhood vaccines . If you could connect the dots to the whole vaccine scandal , that would be powerful .",none
74,1329063888931975169t, 170 cases ? There are 43000 candidate on the Pfizer ’ s trial worldwide . That ’ s about 0.2 % of the trial . Is 0.2 % enough of a clear result of a trial that skipped phase 2 to give to 7.5 billion people . All of these covid trials have been a complete shambles from the start .,rushed
75,1319729885431144454t,No reasonable person is taking a Trump - approved vaccine .,political
76,1338449022449721344t,Indonesia Gets First Batch of Vaccine From China ’ s Sinovac - Bloomberg . - I hope we are not following Indonesia in securing Sinovac and start vaccination without credible efficacy and safety data . Haste makes waste . Safety is paramount . ,ineffective
77,1346782720907591681t,   as Prof Raina MacIntyre has pointed out the  vaccine will NOT allow us to achieve herd immunity . Why are YOU pursuing the use of this vaccine when there are two other vaccines - currently available - that are 30 % more effective ? ? ?,ineffective
78,1335068283557580802t, Maybe someone could explain the risk - benefit to me : From the data that we have available so far the RISK to me ( age / health / etc ) of getting COVID - 19 is an approx 2 % risk of death VS unknown risks from an entirely new vaccine technology never before used .,ingredients side-effect unnecessary
79,1329244375860211712t, Yes moderna will avoid this experiment . I can see trying this if you are dying and have no other options but on a mass scale for this virus seems crazy,rushed unnecessary
80,1444359014117167104t,"    In the same time period after a first dose of the Pfizer - BioNTech vaccine , the study found the risk of blood clots and strokes caused by restricted blood flow to the brain ( ischaemic stroke ) increased . ",side-effect
81,1262493476119166976t, Will you make sure vaccine is Corona free ? Was it grown in dog tissue ? You could create virus storm if kids contract covid . Happened US military last year . ' Science ' reported on it . Don't Do This .,ingredients
82,1370203359009894403t,#vaccineSideEffects alters your dna and rna don ’ t take this experimental poison ☠ ️ the devil came to kill steel and destroy ,side-effect
83,1281119321306079232t,"  Gates is linked to almost everyone one of these things that's why so many have been critical of him . Nanoparticle DNA altering vaccines & Moderna , using brain waves for mining cryptocurrency , ID2020 alliance ... You can't make this stuff up smh . God bless guys",conspiracy ingredients side-effect
84,1375148874369658883t,This is exactly why people shouldn't be in a rush for this vaccine . Technical read but still clear to understand . Please share . ,rushed
85,1377280621240844289t,Johnson & Johnson knew for decades asbestos was in it's baby powder - think I'll give their 💉 a bodyswerve 😏 #vaccine #VaccinePassport,mandatory
86,1377391996491288576t,Unreal ... yet another reason ppl who want one can have my spot in line ... it's gonna be a long time before I would consider an experimental vaccine ( s ) with so many of these types of stories of concern for quality control and outcomes . ,rushed side-effect
87,1435414715769839616t,  So you ’ re knowingly peddling vaccine science from a pharmaceutical employee put on Twitter by Moderna to sell the vaccine . Brilliant . This isn ’ t corrupt at all … .,pharma
88,1333458541072551937t,Lin Wood Not so sure Bill Gates will get Emergency Approval for Moderna . Moderna is Gates vaccine . Gates urges depopulation theory ( smaller servant class ruled by & service elite ) . 1 + 1 = 2 . I will NEVER take Moderna or ANY Gates vaccine . I will rely on immune system created by,conspiracy pharma
89,1334239401585545217t,"COVID VACCINE In foresight of Nazi Pharmaceuticals causing Felidomites and only publicly advertised 10 yrs later , what guarantees are there that the vaccines are NOT Nazi engineered for next gen ? #Covid19UK #COVIDSecondWave #coronavirusuk #BorisJohnson #Primodos #illuminati ",conspiracy
90,1277322748772130817t,"  Have you seen the result of the Moderna vaccine trials ? After these atrocious results , Bancel ( CEO of Moderna ) dumped 17 million in stock . In total Moderna executives dumped 25 million dollars in stock the day after the results were released ( much to Fauci ’ s chagrin .",pharma
91,1430843813937958915t,"BBC Radio Newcastle presenter died of AstraZeneca coronavirus vaccine complications , coroner concludes Lisa Shaw died three weeks after her first dose , inquest hears ",side-effect
92,1334536057954721793t,"Pfizer vaccine from the same people who make Viagra , so you get The vaccine then your arm goes up in a Hitler salute and you cannot get it back down for days ... HaHaHaHa",none
93,1316994978929811457t,"update : DAILY MAIL : turns PEOPLE into MONKEYS ... , ( October 16 , 2020 ; 14 : 28 HKT ) #OXFORDVACCINE",side-effect
94,1346707020758589440t,"Moderna Covid vaccine side effects : Fatigue , headaches , muscle pain say . Many physicians are advising the public to brace for some stronger - than - usual side effects from the Covid - 19 shots than , say , a typical flu shot , and to possibly take a day or two ",side-effect
95,1328154434128523265t,"  Yes and totally untested and a dangerous lottery ten percent of people will still get covid even if they have the jab no long term effects studied and Pfizer ’ s last trial drug killed loads of children it cost them millions and I ’ m not an anti vacer , but I ’ m not stupid either",ineffective rushed side-effect
96,1371590592933822466t,#Moderna Chief Medical Officer Admits mRNA Alters DNA ( 2017 TED Talk video ) #COVID19 #COVID #vaccine  ( Original video ) ,side-effect
97,1336626615200215040t," ... and "" Pfizer said the vaccine was "" well tolerated "" during the trials with "" no serious safety concerns "" . ! ! but confirmed 2 deaths ... ",side-effect
98,1354780396408471552t,"   The lockdown won't end if we all get vaccinated , Priti Patel basically confirmed that on Tuesday , the vaccine has not been tested properly , myself and others who don't want it forced upon us will have to take our chances",rushed
99,1355347772774309890t," Ummm ... why did you get a vaccine ? You aren ’ t elderly , a teacher or immune compromised . Oh yeah , money talks right ? #YouArePathetic",pharma
100,1344785406332727297t, And young children should be tested for allergies before vaccination . Also Christian was given an overload of vaccines without any thought about possible harm . I find medical advice & coercion difficult to deal with .,side-effect
101,1297969696059404288t,      And a vaccine would do nothing for those people . It would only make things far worse,ineffective
102,1343539944686542848t,  The transhuman slavery end game of the vaccine for covid . They are literally trying to put us in a mind / body / financial matrix . This video explains how and why . ,conspiracy
103,1403697877277233156t,Australia and the UK are the only countries that give people aged 50 - 59 no choice other than the lower - efficacy AstraZeneca vax that has more life - threatening side effects . The UK at least is overrun with COVID . Australia has no excuse for continuing to push it .,ineffective side-effect
104,1325879758148800515t,"  Is it just me or is this kind of dubious "" Pfizer says COVID - 19 vaccine is looking 90 % effective "" 43K participants but study has no data of how many were actually exposed to virus to test response . Without a challenge test of those vaccinated we really don't know effective rate .",pharma
105,1296179318238982144t,"  "" Oxford "" vaccine has much more pisazz about it . Easy to manipulate the masses . Mention an Australian research firm and the public would go to sleep . The Marketeer in full flow . What a sucker country we are .",pharma
106,1376742226513047554t," Watching tonight about forcing people to get the vaccine . What ever happened to the "" it's my body "" approach that the dumbocrats keep pushing to legitimize abortion ? ? ?",mandatory
107,1365986368787255296t,      Not sure if you are on Facebook but if so join “ Old man in a chair ” he is a doctor that has been looking in to the vaccines for months he has a full list of all cases of adverse effects of the vaccine to date also lots of other information a complete eye opener,side-effect
108,1333469820633878529t," Agree , I can understand an old or / and extremely sick person taking vaccine , covid is a killer for them whereas someone below retirement age who is healthy like me stands next to no chance of dying of it , won ’ t take chance of getting dangerous vaccine side effects",side-effect unnecessary
109,1377290599519420422t,"Grambling when I get this vaccine please do not give me the J & J one . They baby powder not even safe , what makes you think I want a vaccine by them 😐",pharma
110,1261314346656940032t,  I ’ d recommend listening to Dr . Mikovits and RFK JR on the risks of mRNA vaccines currently in development by Moderna . Even their former chief chemist said he ’ d never take that vaccine . It ’ s exactly what it ’ s designed to do .,side-effect
111,1330406857773621249t,I'd rather take the Wario MDMA pills than a rushed Pfizer vaccine,rushed
112,1376267766328668164t,    You can go anywhere without the vaccine where is all this rubbish talk coming from,mandatory
113,1337581096234528768t,#Vaccine #lockdown #Lockdowns #COVID19 6 people already dead from the new Pfizer vaccine .  The vaccine is so safe that they'll have to force people to take it .,mandatory side-effect
114,1367932481354276866t,"Catholic scholars : ' Little , if any , moral reasons ' to reject Johnson & Johnson vaccine ",religious
115,1329100034718257159t,    When they say things like this . The average age of covid victims is above the average life expectancy . Once you get old something is gonna take you out . Part of life,unnecessary
116,1371936503476092931t," #jrs_covid_vaccine_side_effects This doctor got 105 temp after 2nd shot ( Moderna ) . Once again , this may be a good thing . ",side-effect
117,1408740814998720512t,"By the way , not even Russians trust the #RUS vaccine ' Sputnik ' Well there's a solution : "" Sputnik Light "" ! Only one jab needed of this ( allegedly ) , the first jabs are being given BTW this media outlet ' Echo ' used to be great , now it parrots the state line ",country
118,1346682618750898184t," I intend to get vaccinated but not with the Oxford vaccine . I don ’ t believe in any medical procedures being compulsory . These opinions don ’ t make me a bad friend . I think your friend is your friend . It ’ s a weird time and people are under great stresses , don ’ t ghost yr friend .",mandatory
119,1363061119657668609t,Covid Vax Deaths - 46 die in Spanish nursing home after receiving covid vaccine Health authorities have reportedly halted the administering of the second shot of Pfizer ’ s vaccine LifeSiteNews has been permanently banned on Youbube . ,side-effect
120,1218669770054213633t,"  Cancer Treatments which was about 2 / 3 yr break . I finally watched her become normal again . I already had 2 kids so I knew something wasn't right . My niece had to have surgery after the HPV vaccination bc it caused Her complications . Finally , I knew they were putting harmful",side-effect
121,1357763439255572480t,Pentagon to deploy troops to deliver COVID - 19 vaccines  via  This is sad for many americans who will either get adverse side effects or die from a drug induced vaccine that has not been tested for safety ! DON'T TAKE THE VACCINE ! !,rushed side-effect
122,1346659202970877955t,How the fuck you catch covid 19 after getting the fucking vaccine Because the the vaccine is snKe oil ,ineffective
123,1289961908104134656t,  Translation - I gotta keep this up a little bit longer or no one is going to want this Pfizer vaccine by the time we finish it .,none
124,1369619780458573827t," My dad got cellulitis day after his COVID vaccination 💉 spent 5 days in hospital and still not very well . We kept asking all the medics if it ’ s vaccine related , but no one had a definite answer . We as a family are worried fir our dads round 2",side-effect
125,1376729657077272579t,Shout out to all the folks saying they see hope in their being vaccinated . This isn ’ t hope .,none
126,1288553927781355521t,"      I just retweeted several films , form your own opinion , but watch and don't count on the people in line to make money of a vaccine ( Fauci ) . There is much to read . Much to learn and Much to try . Not using something with these testimonials is not in my DNA .",pharma
127,1285507815545753600t,  Flu jab intereferes with covid making it worse ... look at you in aprile ! #noway vaccines are NEVER #SAFE,ineffective side-effect
128,1311595665223544834t,"  Vaccine industry is exempted from liability . Now they are going to produce a covid - 19 vaccine in record time . Never before have they had any success providing a RNA vaccine . And the blackmail here goes like : if you take it , my grandma could die because of you .",pharma rushed
129,1328781978645180426t,Imagine that ! So early days without adequate safety data ! Pfizer launches Covid - 19 vaccine delivery trial in four US states ,rushed
130,1304072840950542336t,"What a load of sucking up by Mr Pfizer . FDA claims HCQ will kill you and won ’ t stand by Fauci ’ s 2005 report . Scott , did you volunteer for vaccine trials yourself ? Your family ?",rushed
131,1346816399684079618t," Do you also make the Microsoft Windows start - up sound when you burp and the error sound when you fart , or is it just me ? Oh , and check out this weird scar I got after my infertility - inducing Pfizer mind - control vaccine ... ",side-effect
132,1437816425608060940t,   The FDA approval even insists on a new study referencing myocarditis in pfizers vaccine results won't be in until 2025 / 2026  ,rushed side-effect
133,1363932751884398600t,  No vaccine program that creates and perpetuates racism and medical apartheid is a success . Period . It's not some side issue to give a nod to on the the way to praising the system . It means the system is a failure . Y'all really think dead Black people are no big deal,side-effect
134,1325995327069974529t,"  They probably realised you've killed enough people with COVID - 19 . They don't want to add an untested vaccine to your murderous arsenal . But you do you , Trumpy . Just try not to trip over your man - sized bottom lip as you leave the Whitehouse .",rushed
135,1349465041230307331t,"   i using the morning sickness drug as an example of a drug that ’ s been designed for a specific purpose it fucked up countless lives if you have seen a teenager having thalidomide , Covid vaccine just was not tested for long enough . And some of us are sceptical ,",rushed
136,1352878039370227712t,No #Teacher ’ s so not deserve the #Vaccine first . Health workers then supermarket staff . As we know Teachers have had a long break and not due back till April so why would they need a vaccine .,none
137,1361406683541602306t,"#Panarama If you are < 40 , healthy & fit , with no conditions or situations that may put you at extra risk , do you really need a vaccine for #covid19 . 0 % risk from infection . High asymptomatic % . Once / If you've had covid , you have immunity . ' Vaccinate ' very old / very fat / very ill .",unnecessary
138,1291740037307158528t,#WarRoomTownHall  I hope you are going to address the real but truly unknown dangers of Moderna vaccine which has ability to change our DNA . It is unknown what this will do to the human genome . The one vaccine which should not be used before extensive trials .,rushed side-effect
139,1334041704882647045t,""" The deal with AstraZeneca , which shifts some of the risks involved in the roll - out of a vaccine to taxpayers , was struck in August and its liability clauses have not previously been reported . "" The same old line of double standards for the powers that be . 🧐 🤦 ‍ ♂ ️ #vaccine",side-effect
140,1355882792056483842t,  So let the virus keep mutating until the vaccine doesn ’ t work because you want to play redneck politics . No thanks .,ineffective
141,1340238409160384513t,"  Trump has no money in pfizer , so he is blocking it so the company he has money in has the vaccine to ship , in order to make a lot of extra money out of covid",political
142,1253379587226173442t," Whats the point of testing a vaccine on someone who doesn't have Covid 19 , the vaccine is supposed to fight it yet the government is lying to the public again thinking this is a cure when its a placebo to keep the public from attacking them",political
143,1348224150360498176t,Chinese doctor claims Sinopharm vaccine ' most unsafe in the world ’  via ,side-effect
144,1353485271510216712t,"  Remember the 107 old lady who got it twice . PHE never says it can be caught twice ... so what does that mean about vaccines .. Well ... obviously , the virus mutates and it is like catching a cold ... no point for a vaccine ... Time to go back to work ... we have had our fun .",ineffective
145,1339570149200900098t,"All democrats is lie , lie and keep lieing ! Not a doctor and whoopie proves she is liar ! ! ! Health Care Worker Hospitalized with Serious Allergic Reaction to Pfizer's COVID Vaccine via  ",side-effect
146,1355159949089918976t,        You are right Rose . My Dad got the vaccine and I am certain Bill Gates is controlling his every move . He even started speaking Chinese totally out of the blue . Dark forces at work . 🤡 🤡 🤡,conspiracy side-effect
147,1355628700520210433t,"  And I ’ m sorry I hurt your feelings that you had to insult me , but the vaccine isn ’ t going to save you . Lol . They don ’ t even know how long the vaccine will keep one “ safe ”",ineffective
148,1339928212286091264t,Why wouldn't the Pfizer CEO be the first to get the vaccine from his company ? Anybody ?,mandatory
149,1335590875905339395t,     The same reason that every vaccine manufacturer is given immunity from prosecution for vaccines recommended by the government . This vaccine is not unique in that matter .,political
150,1413834370633322499t,   COVID - 19 . Pharma u know logistics ; u can provide tech . 1 % Africa recd vaccine & we know 1st World nearing HERD 80 % + . Vaccine Apartheid on global stage . ,conspiracy
151,1336348977197932550t,Reason for not having the Pfizer vaccine . Fast roll out . No animal trials first . I don't have any symptoms . Pfizer past history 👇 ,pharma rushed
152,1418575187742703618t,   That would be valid argument months ago . But nobody wants inferior Oxford vaccine anymore . Czechs aren't using it at all . UK isn't using it for young . USA never even approved it . You paid a lot of tax payers money for a bad product . EU's vaccine strategy is based on capitalism .,pharma
153,1353778078485540864t,"  Hmmmm . If you ’ re happy to have an mRNA vaccine injected into you , never used before , trials not due for completion until 2023 , longterm problems unknown , ADE a known potential problem . Also , not likely to prevent transmission of Covid . Pretty damn useless in under 60 ’ s !",ineffective
