,ID,text,labels
2826,1293159650398031873t,"As someone who grew up in Latvia , if I had to choose between catching the Rona or taking a hastily created , Russian vaccine , just shoot me straight up with that Covid .",country side-effect
6582,1336879133897314306t,#Fauci is ' concerned ' about possible allergies to  ' s #COVID19 #vaccine shot AREN'T WE ALL ? ? ,side-effect
1019,1374130579319496710t,   I dont deny that but the survival rate is 99.7 % . people between 0_59 are barely affected . They dont the need the vaccine . Just give it to the vulnerable but they should be told the side effects by the nurse who injects them,side-effect unnecessary
5941,1355260738827411461t,  How is it fair that my granfathers grandad was a slave ? How is it fair to make a vaccine for covid and others have died without it . Can you explain how its fair to stop a murderer after his 4th victim . Logic is hard .,rushed
1840,1285808641048748032t,"Are we worried yet ? 52 babies receive vaccines in Mexico . 2 dead , 37 hospitalized , 14 in serious condition . This follows 21 % serious adverse reactions in US C19 Moderna Vaccine trial , and 30 % deaths in Ukraine Moderna trial . ",side-effect
7090,1392287830303551488t,Two young mothers paralyzed after receiving Pfizer ’ s COVID vaccine | News | LifeSite ,side-effect
2812,1339647893272182792t,"  Our county point blank told us , we will NOT be receiving any vaccines in the near future . Pfizer hasn't sent any to us .",none
9683,1344752063415246848t,I'm NOT taking your damn vaccine ; your demon draught . Keep your conspiracy out of my veins !,none
2331,1399782393201008643t," Yes we need them , By the way , how can we accept that Sinovac vaccinated Chinese citizens would be allowed to travel in Europe while European citizens must have an mRNA / DNA vaccine ? Only lawyers can solve such problems .",country
5946,1303672959819710466t,"“ loss of use of her hands & feet ” in a COVID vaccine trial participant . Transverse myelitis in Covid vaccine participant confirmed by NYT .  "" AstraZeneca needs to IMMEDIATELY DISCLOSE exactly what is going on with their coronavirus vaccine trial .",side-effect
394,1330170065795342341t, Psst . Scientists have had decades to find a cure for RNA viruses such as the flu and Covid 19 . Psst . A vaccine is not a cure . Pass it on . COVID - 19 will mutate like any other flu . Pass it on . Think critically . Pass it on .,ineffective
4648,1340322833101070336t," Let me guess ? You prefer Moderna ’ s different lipid delivery systems ? The ingredient likely causing allergies , polyethylene glycol , is in both vaccines . Modern will prob be more widely available in WI .",ingredients
1299,1375452210633523203t, So why has Pfeffel ordered the ONS to withhold data on the number of vaccinated people that have either contracted c19 or died from c19 since being vaccinated ? ? ?  Why hasn ’ t the MSM asked the question ? ? ?,side-effect
479,1311707503638515712t," Think of the number of flu injections given in a year , now go look up the number of flu deaths every year , If we can not contain the flu with a vaccine ask yourself this ... What the Hell makes them think they will control a flu like virus called Covid - 19 with a vaccine",ineffective
8604,1338636106644955137t," Mr O'toole , I understand that you already had Covid - 19 . So why would you risk getting the vaccine ? You are immune , or at least as immune the vaccine will make you . We have no idea how long the vaccine effectiveness lasts , but it is usually similar to natural immunity .",ineffective unnecessary
3358,1363991859861815300t,  Then what is the point of the vaccination if you get treated the same as those unable or refusing to get it ? Political control will never end,political
7343,1376061845115564033t,"  No , if we have vaccine passports for domestic use then we will not be a free country",mandatory
5933,1353659701125373954t,"  Illegally trialled without consent ? And the experts here are BioNTech , who developed the vaccine . Oh , and the WHO , BMJ , FDA , EMA , STIPO etc .",conspiracy rushed
3114,1353373809781338113t,"   ... 55 lakh dosages of untested vaccine on the population and you think , that ’ s a good job ? Only reason you don ’ t hear backlash in India cause the govt won ’ t cover it . There is a hunger strike call by IMA on Feb 1 , do check it out .",rushed
3480,1290429052126298113t,Trump wants to use the military for his Warp speed rushed covid vaccine . Now he is sending out emails telling people that it's patriotic to wear a mask . What an absolute joke . Will Trump haters stop wearing masks now ? ,rushed
6021,1306643294236094465t,"Jesus Christ , the Moderna vaccine needs to be frozen during transportation . That "" vaccine "" is a total scam and won't be able to distributed effectively . With Trump , it is just one scam after the other .",political
8696,1361091484028649476t,"  3 ) Separate issues about vaccine safety but esp CoVid vax safety . Experimental nature of the new vaxes . 4 ) A very serious matter of having THREE or more cures for CoVid already : I . e . the non necessity of these experimental vaxes . 5 ) unethical , uninformed consent and forced vax",side-effect
712,1382626152439767041t,".  supports the pause of the Johnson & Johnson COVID - 19 vaccine distribution . "" Medical professionals ’ highest obligation is to avoid knowingly inflicting harm on patients . "" ",side-effect
8899,1368294361595846656t, why vaccines should be made mandatory ? Why do people who have antibodies after getting covid need vaccine ? Why is NHS ASKING FOR PLASMA from recovered covid patients when there's vaccines ? Why is the vaccine not a cure or prevention ?,mandatory unnecessary
1877,1376672980701474817t,Mexico : 75 - year - old woman dead 15 minutes after Sinovac vaccine ,side-effect
8167,1255932354419359751t," I don't take the vaccine for the flu , or Pneumonia , doubt I would take one for C - 19 .",none
1723,1366800257166761986t,  If you have the vaccine within about 3 weeks of actually having had Covid . You will definitely get something of a reaction ! Like having flu !,side-effect
7535,1308405547763466242t," As long as positive tests from a faulty , inaccurate PCR test continues to be considered , "" Cases "" , Covid - 19 will never go away until the global population takes the Moderna Covid - 19 vaccine and probably multiple doses of it . Thats the end game .",none
6526,1296800285818523649t,"  It should be personal choice whether you take a vaccine that has been fast tracked , vaccines take 10 - 15 years to develop due to safety controls . I agree that people falsely believe that Covid is not fatal perhaps they should see the ruptured hearts .",mandatory rushed side-effect
3725,1372705154944884737t,"This is all to say that the wife of the Chairman of the Canadian PR company hired by Pfizer to promote vaccine is a director of  ' s Global Canada , which received money from  to promote Covid Zero using pseudoscience cooked up by  et al . ( 11 / n )",pharma
6259,1307066456287444992t,"   OPERATION “ WARPED "" SPEED On 9 / 13 , Pfizer said its third - stage Covid - 19 vaccine trial may be completed by late October . Really ? I ’ m subject # 10551141 ; I had my first injection on 8 / 28 . The study lasts TWO YEARS . Why the pre - election push ? $ 1.95 billion buys MORE than a vaccine .",pharma political rushed
3940,1377501374485782531t, I cannot even imagine a Russian vaccine solution . All they are known for is for making the most lethal poisons that go beyond country borders .,ineffective
5959,1341139216219197442t," The hospital has an obligation to let the world know she is OK , otherwise Pfizer needs to report this death asap to the public with confirmed causality ! This new vaccine's ' approval ' has a conditional status , observing specific pharmacovigilance requirements for event reporting .",side-effect
9007,1309993933607444480t,      most useless vaccine in history ? 1 Young people under 60 = covid is very low risk . 2 . Gates admits vaccine this year is unlikely = maybe years 3 . Gates admits vaccines dont work on elderly because they have a feeble immune / low antibody production 4 . Herd imunity by 2021 ,ineffective unnecessary
4914,1329246303797334019t," Moderna - "" Oh yea bitch ? Well our vaccine can now bring people who died from Covid back to life """,none
5464,1438064471503691777t,   I certainly agree there . In fact it's immoral . Johnson stated yesterday that he'd be rolling out the vaccine * next year * to the developing world . However we get unnecessary boosters first . It's disgusting as the vax is working well against Delta . And there are no known VOC's .,unnecessary
7156,1320829759455191043t,   That pillock along with Ferguson and Vallance are trying to keep project fear going because they have invested millions to make billions from the shares they have in GSK & AstraZeneca . What about Matt how much will he make from the warp speed unnecessary vaccine ?,pharma
9038,1330987065178198017t, Must be tempting to go for a vaccine for a chimpanzee cold with 70 % effectiveness when one with 94 % exists thanks but no thanks Oxford,ineffective
1387,1300231661133737990t, My almost 18 yr old got her meng . B vaccine recently . She had a bad reaction the next day or two . We thought she had covid ! My son just got that one too and the weird thing is was is I questioned it . Then I was like oh just go ahead and give it . I think it ’ s fairly new compared,side-effect
6713,1333228808544120833t," bitAngryBuddha  You missed one thing ... the virus spread because of the soldiers getting vaccinated ! It was KILLING them , and then it was covered up and later given to the public after they stopped giving them to them , which in turn killed them too .",conspiracy side-effect
6354,1289946255267749888t,Governments are literally allowing big pharma companies like  to rush experimental vaccines with no liability or legal recourse if people suffer severe side effects or even death . ,political rushed side-effect
1992,1435501919053574145t,    You are right about the fading protection offered by Pfizer @ 5 - 6 months though . Another thing that would have been fixed with a diversified vaccine supply .,ineffective
7752,1330352291375947777t,I always fought this - few have spreaded lie about covid mortality as if all will die . THEY r funded by failed vaccine mafia           Actual Covid Mortality < 0.03 % of population,conspiracy political
6552,1336738339559518208t, And do research of vaccines . If you get the Covid vaccine right.and you die or get paralyzed your family can ’ t sue or anything . This covid vaccine is about money not your health,pharma side-effect
1313,1373683680221167620t,      How about “ not having thousands of Covid deaths every day ? ” How do you have zero cases yet only have a vaccine that does nothing against variants ?,ineffective
6091,1361490224820350977t,"  None have died from Covid either ! How long to create a polio vaccine ? or tuberculosis ? Does Covid vaccine stop you from getting it .. No , does it stop you transmitting it .. No , does it protect from new strains ... No . Can it be given to pregnant or planning to ... No . Is it safe .. No",ineffective side-effect
3436,1350417824024563713t,"    It ’ s not just deaths , please look at Page 6 , Dec . 18th , ADRs after 1st Pfizer dose , and extrapolate the 2.8 % to total vaccinated . People who question safety are not ‘ anti - vaxxers ’ , just because they have genuine safety concerns .  ",side-effect
7130,1347564108175077376t,"  so many people have already given their brain away and had the Astra Zenaca aborted foetus covid vaccine , wish we'd known this one was coming to the uk , just a vitamin boost apparently",ingredients
5224,1280815112220106757t,  ... & that ’ s with a flu vaccine ! In any given year a number of Corona viruses are going through the population - any deaths would fall under the umbrella of influenza - like - illness ( ILI ) or whatever comorbidity the person had . #Plandemic2020 #coronascam #CovidHoax,side-effect
2245,1355787145512951810t, It really scares me how much people view the vaccine as the cure to COVID ... there are going to be a lot of surprised people when they get infected after they get vaccinated and think the pandemic is over .,ineffective
3020,1326979731921784834t,".  pointed out this clumsy phrasing in this article : "" Pfizer didn't share an exact breakdown of * how many got sick from getting Pfizer's vaccine * versus the placebo . "" ",pharma
6371,1374887819919851520t,The column says repeatedly that the AstraZeneca vaccine is efficacious and safe . But the company's constant bumbling is undermining confidence in all vaccines . Is the solution pretending there isn't a problem ? Perception matters . ,ineffective
4990,1354531475182518274t,"  There have been no animal studies . People are dying post vaccination in Germany , Denmark , Norway , USA . One doctor , and even a expecting mother lost her healthy unborn at 28 / 40 post vaccine . I feel Messenger RNA should not be pushed as much . AstraZeneca and J & J should .",rushed side-effect
9519,1339303276186099712t,"   I mean if you have 50 million people getting the shot it ’ s going to happen people will die within a few days of it , because bad things happen relatively often when large numbers are involved , completely ridiculous to worry about this stuff .",side-effect
657,1305560998389133313t,And sheeple will be clambering for this deadly vaccine too . Bet they can't wait to get M . S . & other terrifying neurological disorders ! AstraZeneca ’ s COVID - 19 Vaccine Test Subjects Stricken With Multiple Sclerosis and Rare Spinal Cord Disorder ,ineffective side-effect
4383,1329175770279907330t, Pfizer - our COVID Vaccine is 108 % effective and truthfully you don ’ t need it anyway . But Dr Gottlieb says to take ours . So there !,unnecessary
5478,1331348467436818433t,Isn't poisoning one of the main ways Russia destroys dissidents . Don't think I'll take any Russian vaccine .,country
5905,1365404073214754819t, You can ’ t choose but because of where I work I know what venues have what vaccine . I qualify because of my work . I just don ’ t like that they ’ re rolling out Moderna in spring which is really bad side effect wise . Oxford knocks you out for a couple of days and that ’ s it .,side-effect
2684,1298653767840268291t,  But its actually ineffective on the very age group that they reckon they want to protect . In fact those who have the flu vaccine have been more likely to get covid .,ineffective
7417,1354913900588888071t,"The dangers of rushing when dealing with pharmaceutical companies and their profits ... German officials say AstraZeneca vaccine shouldn't be given to over - 65s , citing lack of data ",pharma rushed
9583,1371296692474052609t,"My body is just great the way it is . Hope people stop taking this "" vaccine "" . ' Moderna ’ s Top Scientist On MRNA Technology In COVID Shots : ‘ We Are Actually Hacking The Software Of Life ’ ",unnecessary
3614,1288939163589345281t,Happy thought : How much money will they lose if we all refuse the vaccine ...,pharma
8958,1374532182836834304t,    I taught the vaccine is the thing cause Blood clots in the human body .,side-effect
8157,1438667917080551432t,"Pfizer Inc said on Thursday it was recalling all lots of its anti - smoking treatment , Chantix , due to high levels of cancer - causing agents called nitrosamines in the pills . But we trust them with the hurriedly developed vaccine ? Oki ... ",ingredients
5646,1336634095422468098t, First specific safety issues of Pfizer / BioNTech vaccine too . ,side-effect
2197,1365991673776513026t, How on earth can it when it ’ s a experimental 🤔 ring Pfizer hotline they tell you it ’ s a experimental emergency jab for COVID - 19 not tested or approved . That is there words not mine ! ! ! So you need to stop bullshitting the public with fake information be very careful what you say,rushed
6419,1400159850131304458t,    No ! You get locked down because Boris Johnson & co choose to do so . Nothing to do with people who have & hadn ’ t had the vaccine Deaths are zero ! This says no lockdown . If the govt decide otherwise you only have them to blame !,side-effect
1064,1364006217149018118t," Pretty sad that you need to push this vaccine so hard . Is it possible our own immune systems are more effective ? 🤔 A vaccine that's 94 % effective against a virus with a 99 % survival rate . Bravo , governor !",ineffective unnecessary
8268,1342315718415552512t, Is the Oxford vaccine safe ? Some virologists who have studied adenoviruses are concerned regarding the pathogenicity of adenovirus vector . They opine that the cases of transverse myelitis are LIKELY due to the vaccine . Can I have your thoughts / opinions ? Is there a definite risk ?,side-effect
8374,1331914535930900485t,  But a couple of days ago they were 95 % effective just after Pfizer claimed their 90 % effectiveness . They all deserve to be in prison for this fraud !,pharma
70,1377980203515965442t,"  Why in the hell do I need a vaccine , if I have already had COVID ? Did we suddenly change the rules of science ? COVID is a virus . Viruses mutate . The vaccine is not a guarantee you will not catch COVID again . Quit pushing the vaccine as the answer .",ineffective unnecessary
8102,1376655992834961408t, Maybe I ’ m just paranoid but maybe maybe he has invested interest in vaccine manufacturers ?,pharma
1836,1368527251709497351t,   It's for depopulation . Professor John Bell of Oxford Astra Zenica admitted that 60 - 70 % of people taking it will become sterile and once you take the vaccine you can't be unvaccinated .,conspiracy side-effect
1684,1367320292117405703t,Catholic Bishops : Avoid Johnson & Johnson Coronavirus Vaccine Created With Cells From Aborted Babies |  ,ingredients religious
2429,1283357921200545798t, is strongly defending his buddies over at  for their misleading vaccine results . How many times have we heard this story from  ? Cramer has to keep his ‘ charitable ’ trust propped up . Wake up #cramerica,rushed
104,1325879758148800515t,"  Is it just me or is this kind of dubious "" Pfizer says COVID - 19 vaccine is looking 90 % effective "" 43K participants but study has no data of how many were actually exposed to virus to test response . Without a challenge test of those vaccinated we really don't know effective rate .",pharma
8398,1296295489625821186t, Our own government said the flu vaccine may have played a factor in people catching Covid .,side-effect
4251,1354817445081432073t," No . This is the definition of a vaccine . This government substance that they want to inject us with is a killer , and has killed already . It's also caused severe neurological disorders , strokes . Russian roulette . No thank you . ",side-effect
9421,1326604451956862976t, I hear your dad our wonderful President get a vaccine through Pfizer . Is it true this vaccine has tracers in it . Check out the video below . Maybe the administration should address what many doctors are saying . ,conspiracy ingredients
4523,1344634420175773696t,A Dr . is concerned that there is no evidence of benefit from a single dose of the Pfizer vaccine .,ineffective
6169,1382325788310130691t,Denmark has permanently banned the AstraZeneca Covid vaccine according to the Health Authority . The Health Authority says that clear evidence linked the vaccine to serious adverse reactions including blood clots and bleeding in patients . ,side-effect
6537,1262403491017998338t," Hey  what , exactly , IS your definition of "" safe ? ! "" Inquiring minds want to know ..",none
6693,1299707889657892864t,"This is long . But full of truth , I started and thought this is boring as shit . Then everything started to make sense . Who push vaccine's and why ? We already know .",mandatory
1596,1377255333991710724t,It really is . If you want the ‘ vaccine ’ fine have it . But don ’ t start name calling me for not wanting it anywhere near me 🥱,none
7057,1277345815388962816t, And Moderna is using a lovely new fetal cell line 🤮 Fauci waived animal testing days after this lie 🤬  #FireFauci,ingredients
7874,1297830823853342721t,"Oxford University coronavirus vaccine has ' ethical concerns ' , Sydney Archbishops warn followers - ABC News  . Here we go again , religion be totally against humanity again . Stuff the backward bastards . Morrison is a cult follower so he will agree",religious
5433,1375341047149039616t,"  personally I'm waiting for larger incentives than just donuts . When they start providing a guaranteed income for people who are vaccinated , that's when I'll get the vaccine . You know , when I can get shit that'd actually help me .",none
601,1284542770581868544t," Lockdowns and vaccines may stop Covid - 19 but they will not stop the next virus from coming . Is this the same approach to protect against Covid - 2021,2223 ? No one talks about boosting your own immune system , sleeping , exercising , vitamin c , d",ineffective
2954,1375168641310846978t,folks just can ’ t wait to get that vaccine to be able to go out and make their bartender close out their credit card five times in one night,mandatory
2005,1303746392335306752t,"2 / There is no treatment for an inflamed spinal cord - - just the healing power of time . On the other hand , 1 case could have been caused by other factors - - injury , an infection , even acute stress . How can  prove / disprove that its #COVID19 #vaccine was the cause ?",side-effect
3371,1338519325251170307t,Both companies are currently engaged in the ongoing COVID - 19 vaccination effort . Remember CCP is the Chinese Military Great way to Run a War Start the Virus and End your Life with Bogus Vaccine Does that make Gates and Fouche Part of the ,country
3800,1285217143915782144t,"* Can train immune system * Look at the above word "" train "" . Doesn't that scare you ? Can train to do one thing & untrain another ? And development in such short time ? There are nine different strains right now . Why haven't Glaxo or Pfizer made progress ? ",side-effect
6377,1336960687621484544t," I was 2 years old when Pfizer produced Tetracycline . A great new antibiotics . I was given this wonder drug , as an infant , to treat my tonsillitis . Unknown side effect , my adult teeth grew in discoloured . Who knows what possible side affects this new Pfizer vaccination may hold ?",side-effect
6453,1354442607456366597t," All that rubbing for a placebo what do you get with the real thing ? Doctors in Norway are investigating the deaths of 23 elderly patients who had received the Pfizer / BioNTech coronavirus vaccine , looking into the possibility of adverse reactions to the shot .",side-effect
1874,1407335188540108820t,"Murry Hellekson AstraZeneca Apri 2021 Severe Adverse Reaction : Guillain - Barré Syndrome , which presented itself two weeks after receiving his first dose of the AstraZeneca vaccine .    ",side-effect
929,1350135296625680384t,"  We have been trying to find an effective vaccine for flu for over 70 years with no success . I know we have a vaccine for flu but still 10 - 20k die every year from flu except this year , Flu has disappeared Have we cured it ? More likely they have rebranded the flu to covid 19",ineffective rushed
6525,1375604672359100419t,"  Not at all . Honestly . It is a made up invisible enemy . Herd immunity is worldwide , without the vaccine . I am much more afraid of the vaccine imo .",side-effect
9102,1375310899309907968t,"Testing by Pfizer begins on a child vaccination . Experimental , emergency use only vaccine for the lowest risk population there is . Almost no risk . But risks from experimental , emergency only vaccines we know do exist historically . Anybody see a problem with this ?",rushed
294,1324332656759312385t,  why are Pharma companies being allowed to wash their hands of all responsibility when it comes to a Covid vaccine ? Is it because vaccines actually take decades to produce properly ? ,pharma rushed
3422,1306825563525582849t,So the government are going to force an untested vaccine on the public . Sorry  my body my choice I ’ d rather take my own life before I allow you to poison me .  #vaccines #vaccine #COVID__19 #COVID19,mandatory rushed
1141,1262560869264826372t," Don ’ t buy Fauci ’ s garbage , he ’ s in it with Gates . Moderna has never produced a vaccine in it ’ s history . Do the research and correct me if I ’ m wrong",pharma
4043,1293165215048237056t,there ’ s no way in hell im getting a russian vaccine,country
5125,1407528901950132226t,  BTW one of the shortcuts taken was rushing to optimal dose to balance desired vaccine effect vs side effects . And mRNA vaccine companies have avoided HIV studies while  voluntary did HIV sub group in phase 2 . Science vs PR .,rushed side-effect
6181,1433140721968635906t,Eric Clapton almost died from the AstraZeneca Vaccine . It ’ s very serious .,side-effect
8440,1251000898890981381t,   Don ’ t get the vaccine when it ’ s available . Play Russian Roulette .,none
7444,1347600899414265860t,Someday I'd like to see the actual data . China's Sinopharm vaccine ' most unsafe in world ' with 73 side effects ,side-effect
4559,1292920028996739079t, bill gates it goingnto put it back in with his corona virus vaccine nice try,conspiracy pharma
9024,1343705570415673348t,  That should say #COVID19 vaccine ‼ ️ Not the virus ! I ‘ rebuke ’ that ! ! ! 🥴,none
4468,1119684273571864576t, Supposedly vaccines eradicated polio and small pox . Then your guy Bill Gates goes to India and starts a vaccine foundation . In the next month there ’ s a polio breakout . All I ’ m saying it ’ s not irrational to question vaccines when the everything istampered with for a better profit,pharma
7933,1368095230570897411t,"#VAERS 58 y . o . ♀ ️ #Pfizervaccine #VaccineDeaths #Necrolysis "" Extensive subepidermal bullous formation with ... mixed inflammatory infiltrate ... in the larger of the two skin fragments ... the smaller ... shows diffuse epidermal necrosis "" ",side-effect
4692,1358845206007799813t,"The truth will out in the end ! Oxford Covid vaccine has 10 % efficacy against South African variant , study suggests ",ineffective
