,ID,text,labels
8530,1337525722605350923t," Is it designed to sterilize those vaccinated with it ? Is this their "" unknown "" alibi in the waiting ? #Depopulation #Pfizer - #BioNTech #COVID19 #Vaccine #EUA ",conspiracy side-effect
6822,1355476562158694402t," No , anyone take a Vaccine is an idiot i mean there is so many side effects",side-effect
8053,1375843911315251202t," mRNA vaccines never been used in humans before , multiple issues with prior mRNA vax attempts in animal models with autoimmune issues and excess mortality . Swine flu vaccine halted due to causing narcolepsy . Phase 3 trials end in 2023 , anyone who takes this is enrolling in a trial",ingredients rushed side-effect
402,1364628689162547208t,I find it incredible that many people commenting on here dont know the definition of a vaccine . This is not a vaccine the Government are peddling . It's an experimental gene therapy treatment . Anyone taking it are the lab rats . These people want to depopulate the world by 80 % . ,conspiracy rushed
9486,1352234166599999491t,    Well of course BioNTech will say it doesn't affect their vaccine candidate . They are looking at this from a business POV . So they will say it still works so they can keep pushing it . Even if the actual efficacy dropped .,ineffective pharma
33,1354305622225932288t," as i know even in rich developed countries they still don't provide insurance with that vaccines , there's a cases of deaths in Russia from Sputnik vaccine which not investigated , including catching virus & death after vaccine ( Kaluga city head of state hospital death )",ineffective side-effect
4713,1325855774833303553t,So they ’ ve created a vaccine for COVID in less than 12 months but yet after years of research and millions of money invested they still cannot find the cure for cancer ? 🤔,rushed
1283,1444396900594163717t,"Woman Dies of Rare Brain Disease Within 3 Months of Second Pfizer Shot , Doctor Says Vaccine Could Be Responsible • Children's Health Defense ",side-effect
7204,1296221525713063940t,Several scientific studies reveled that the flu vaccine negatively impacts a covid 19 infection . WHY would they want to harm to our children ?  Please help your constituents . We will not comply to harmful mandates ! Back to school Commonwealth .  ,side-effect
1020,1363954994429497348t, Absolutely they should not . My wife is not able to take the vaccine . She should give up her NHS job then ?,mandatory
4242,1406060487138234371t,"     Yes , the possibility of vaccine transfected autoimmune myocarditis cannot be ruled out . ",side-effect
480,1376511700019597316t," Injecting a genetically engineered AI implant , aka covid - 19 vaccine into anyone , let alone fit , and healthy , people is outrageous , must be stopped before it's too late . Time will prove me right , I fear .",ingredients
621,1349121857857978370t,    you mean from the group aged 18 - 55 which is pretty much at zero risk even without vaccine ? that's useful ...,unnecessary
4148,1337450025136377856t,"#CovidVaccine #COVID19 Is it a bit dangerous - just like with flu vaccines - to inform people that once they are vaccinated , they will protect others from getting a virus ? Vaccines are not 100 % effective , people may spread the virus , so ...  via ",ineffective
3489,1326294857061642242t,National mask mandate .. then lockdown .. then vaccine to get out and “ testing tracking and tracing like our buddies CCP ” . That was the plan then the vaccine announcement from Pfizer ... kinda threw that plan off a little ...,mandatory
3732,1354126730122944512t, Why don't you stop the drama and open up . You're killing more people than the vaccine will help . STOP ALREADY YOU AND YOUR HUSBAND ARE A DISGRACE TO NJ,side-effect
9859,1253252000319504384t,     The global warming scam has been debunked so the same money is funding the pandemic / needs a vaccine scam . The viral stimulus has gone wrong and a vaccine may never be produced . Herd immunity not possible with no lasting immunity . A level up from seasonal flu which we live with !,conspiracy
6444,1316028429834223617t,"  It ’ s very , very important not to rush these vaccines . AstraZeneca ’ s pause started on Tuesday Sept 8th and continues . The pause indicates safety concerns aren ’ t being fluffed off , which is a good sign . I totally agree that rushing out a flawed vaccine , would be a major mistake .",rushed
4376,1325870121877958656t," No . I ’ m a Trump fan but he ’ s wrong on this one . Pfizer is in with Soros ( who took a position there in 2017 But go right ahead , take the vaccine that hasn ’ t been properly tested . You Turn coat Rs allowed Biden to steal the election .",political rushed
8514,1335222839201460224t,If you must take the vaccine don ’ t take the Moderna one ! Bill Gates is evil !,pharma
1997,1309705180976422912t, We have immune systems . We don't need this . Leave us alone .,unnecessary
8875,1365833162690093057t,"   My concern is the long term effects , which obviously haven ’ t been studied . I ’ m worried I ’ ll be watching tv one day and a commercial come on saying “ if you or a loved one had the Pfizer / Moderna covid vaccine in 2021 , you may be entitled to financial compensation ” 😂",rushed
4055,1293122773984915456t," They think they're the best , russian out a vaccine without adequate testing . So be it ... I mean soviet ... no wait .",rushed
5394,1378811024439132164t,Contamination spoils 15 million Johnson & Johnson vaccine doses  ,ingredients
2556,1414908369836679173t,"FDA warns of Johnson & Johnson vaccine , Guillain - Barré syndrome link ",side-effect
523,1335618820355010562t,  How do you know that in case of pfizer vaccine medium to long term risk of side effect is small ? Smaller than potential risk from the varus itself ? The answer is : you do not know . And there is no way you are able to know . Unless you have time machine which I doubt,side-effect
2771,1375781340000493568t, 99.8 % recovery rate ( if not more for all the people who had it and just stayed home ) . Plus we know that the vulnerable are those living with specific pre - existing conditions and elderly living in long term care so ... NO to vaccine passports or for making Covid vaccine mandatory .,mandatory
764,1339373003172425730t,   Is he away that even a ceo at Pfizer said he wouldn ’ t even take the vaccine 🤔,pharma
3261,1432995144412774406t,"#Pfizer CEO on FOX : “ it was likely a vaccine resistant variant would emerge ” . Basically the vaccine supplier has told us that #CovidVaccine will not work . Indeed , #BigPharma are ready to promote new products “ against ” #Covid19 #CovidVaccineRollout ",pharma
9501,1301730882676576256t," I ’ m not taking a rushed vaccine . Rushed vaccines can be dangerous and should only be allowed for viruses that cannot be controlled , COVID can be controlled if people actually took it seriously .",rushed side-effect
2259,1422167140526866434t,"1 . The entire program is a disaster . 2 . They are still promoting the Chinese vaccine ... which basically DOES NOT WORK . 3 . Without leadership from Biden and the US , not much the rest of the world will do . ",country ineffective
7572,1340085113334411272t,"  Very likely as the compliant cover their airways for long period with germ incubating rags Also , almost certain we ’ ll see a rise in deaths attributed to Covid but actually caused by a side effect of the vaccine",side-effect
5247,1326511540573507585t,"If Pfizer made a car , at least then they ’ d have , you know , responsibility for a shoddy product - but since they make vaccines , they ’ re protected by from liability for them by the US government . #1986theAct 🤯 🤯",pharma
1568,1400159899385016326t,"Strange defence of Johnson ’ s role in vaccine delivery by  they really have brainwashed away the science ! They rushed into AZ to mask 160k dead , despite its effectivity being 20 % less than mRNA jabs as deployed in USA ’ s 310m jabs , 30 % effectivity for 75 % with 1 jab !",ineffective rushed
562,1311362435203444737t,"Next step from Boris will be forced vaccines courtesy of his mate Bill Gates ( nice cut for Cummings / Boris too ) , 2 tier system , no vaccine no access to NHS , shops , pubs etc ( immunity passport issued when vaccinated ) This time next year we going to wish we lived in North Korea",political
2582,1327399622327734272t," I think they're both right . Money was from Warp Speed , but didn't get up front money . Still , getting a pre - order for $ 2 billion makes Pfizer able to do their work . Plus they got less oversight at start , meaning less safety ? A pox on all their houses , which vaccine won't prevent .",ineffective
7677,1343101821355778049t,"what is known , not known about COVIID 19 vacciness : 4 Pfizer vaccinne trial recipients contracted Bell ’ s Palsy , the long term adverse reactions were only tracked for EIGHT WEEKS ! ! 8 weeks ! ! ",side-effect
5115,1371740064049414144t,"The #AstraZeneca covid vaccine they wanted to inoculate south Africans with , is being rejected in other countries . ",country ineffective
4087,1382006079089999876t,"Rough math suggests that based on reported cases ( an underestimate ) , the  vaccine has been linked to < > 10 exceptional clotting events and 2 deaths per million completed vaccinations . Remember : That is only ONE risk . The deaths occur in people at low risk from Covid .",side-effect
1263,1374731544930045953t, Well yeah it doesn ’ t prevent the virus from entering your body but the fact anyone would even entertain the thought that a vaccine is a magic virus barrier just shows how incredibly stupid and uneducated people are,ineffective
1294,1326168448490217472t," Pfizer Vax - "" The most frequent adverse reactions were local pain at the injection site , fatigue , headache , muscle pain , chills , fever and sleep disturbances ” , they detailed",side-effect
7347,1347852337193361411t, And our children are under more pressure than ever too ! The cure is definitely worse than the disease for our young people - it ’ s appalling ! ! You are causing irreparable damage to them ! #UnlockTheSchools Why are we placing all our hope on this vaccine and not being sensible ?,political
4694,1335070606962941955t,"RE : the COVID vaccine . There's ZERO EVIDENCE ( scientists admit they do not know ) that those who are vaccinated can't STILL transmit the infection to others . So , presumably , that blows "" you're selfish if you don't get the vaccine "" out of the water .",ineffective
6481,1367914426754469889t,"I won't take #AstraZeneca Covid - 19 Vaccine , let me b d only health worker to die of this Covid - 19 virus",side-effect
8714,1375199755568095233t,The worst thing about it is this You ’ ve got the mob who have been vaccinated on here saying they don ’ t want to interact or be around those who haven ’ t got the vaccine yet and basically to stuff it up our own and let them be free in their pubs etc ,none
4265,1326818192228982784t,"  The cold chain for the vaccine alone , will cost ! I don't understand all the excitement over it's > 90 % efficacy - so what if you can't organise it's effective delivery ? ! 🧐 Especially in poor countries ? ! 🤔 #Pfizervaccine",ineffective
2971,1298597315679223808t,".  are going to make billions from a #COVID19 #vaccine developed with UK taxpayer funds . Now they're demanding if it goes wrong , they ’ re let off the hook 😡 👇 🏿 😡  Demand these dodgy deals are made public 💪 🏽 ",pharma
7420,1319239942908805120t,"Fake Placebo Meningitis Vaccine May Have Killed Healthy 28 Year Old Brazilian Covid Vaccine Volunteer That's the headline Reuters should have written , instead of AstraZeneca COVID - 19 vaccine trial Brazil volunteer dies , trial to continue . If you ask an … ",side-effect
7525,1376890708158730240t,"    Also , to require a vaccine passport for a vaccine that is not FDA approved is illegal .",mandatory
1467,1376210451068030978t,My mom want me to take the vaccine so bad & I ’ m not with it,none
6241,1355090345676201985t,  Yes who are being culled through virus and vaccine .,conspiracy
7811,1268640034653196289t,  Quarantine starts 8th June . But still #VaccinesKill #Billgatesmurderer,side-effect
3653,1289100690585878528t, This is exactly what I ’ ve been thinking . There is something nefarious about this mRNA vaccine . It ’ s pretty clear . Most likely to do with eugenics .,conspiracy
4019,1355336421989634049t,  Except multiple sources have said that the vaccine never went through the full testing procedure because the FDA was under pressure and rushed it out ahead of schedule .,rushed
38,1122216014698074112t, please please speak with Robert Kennedy re vaccinations 🙏 🙏 🙏 Don ’ t take our constitutional rights away to choose whether to be vaccinated or not . It ’ s not the governments or the states job to force us into taking poison into our bodies .,mandatory side-effect
9356,1260173163616501760t,   One Script One Agenda Forced Vaccines Depopulation Electronic Money Mass Slavery & Control Constant Surveillance Media Brain Washing Masses Deception of Sovereign Nations One puppet Master in the background WAKE UP WORLD COVID - 19 = SCAM ,conspiracy mandatory
4971,1336682928093483010t," ""  confirmed that TWO STAFF SUFFERED AN ALLERGIC REACTION when given the new rushed out  #Covid19 #CoronaVirus #vaccine 💉 jab , on Tuesday , on the FIRST DAY of the mass vaccination programme ! ” It ’ s only Day One ! Didn't take long did it ? ",rushed side-effect
2942,1265565493827698688t,"UK wake up now ! We are just #human stock to #cabal #elites #tories We are treated like sheep with an evil shepherd . Say no to #SocialDistancing #masks #vaccines It is time to protest & rise in large numbers . We unite , we are strong . #WednesdayVibes #Covid_19 #COVIDIOTS are right !",unnecessary
9704,1399789795832852481t,"   god know best , , maybe sputnik v hiding info because its also adenovirus vector based vaccine , , jj astrazenca and sputnik v",pharma
3469,1378112633182826496t,WHY IS THIS PLANT OPEN ? WHY IS THIS PLANT USED TO PRODUCE VACCINES THAT ARE ALREADY QUESTIONABLE ? 🤷 🏽 FDA found violations at Emergent plant that ruined Johnson and Johnson vaccine doses - The Washington Post ,pharma
1189,1298652521255391235t, A virus with 99.9 % survivability needs no vaccine . Enough of your greedy ambulance chasing bulllshit .,unnecessary
2718,1326480829103616001t,Idc if the vaccine Pfizer created is 100 % effective and gives you super powers still not taking that shit tf,pharma
3109,1293175440304046081t,Former US FDA Associate Commissioner Peter Pitts on Russian - made COVID - 19 vaccine : I have serious doubts . The Russians have not shared any scientific data . I am advising the President ( Duterte ) against getting a shot of the Russian made vaccine . READ :  ,country
3677,1330944705643700224t,Oxford vaccine is not passed in UK but India is so eager to pass Its Indian partner in India by making Indian ppl be fooled for letting vaccine mafia earn billions .. and not realizing grave risks      #SaveFromVaccineMafia,pharma rushed
7885,1321693729980370944t," No you've bought into the CON LOOK UP THE # ' S ON WORLD O METER , SWEDEN / NYC ON SAME DEATH CURVE = FLAT , NYC MET HERD IMMUNITY AS HONEST DR , S SAID , dr ? fauci , gottlieb BOTH ON PFIZER'S BOARDS , FOR MANY YEARS GET $ PAID $ % FOR SALES HE'S BEEN PUSHING VACCINES AS TV ALL KNOWING DR FOR = $",side-effect
9565,1426214488961921038t, #ISRAEL #DELTA #3rdJAB #PFIZER Despite 3rd Jabs now in Israel ... deaths up and cases up ! #DELTA has escaped the vaccines now the 3rd jab .,side-effect
9118,1440044382510452739t," Strange I thought the ' Oxford vaccine ' was going to ' , save the world ' . British media have suddenly and quickly forgotten about it ...",none
2034,1376659967281860613t," and nobody wants to hear this , but proving efficacy of a covid 19 vaccine is a weird task because statistically it's not that dangerous . so wherever my line is , it's before coercing the entire population to take an experimental vaccine for a disease that poses manageable risks .",mandatory rushed side-effect
2993,1386989157495590914t,"‘ Fit and healthy ’ engineer , 27 , died three weeks after having first AstraZeneca anti - Covid jab ",side-effect
1342,1255765560786329601t, Will Seabourn guarantee a full refund if I book and then before the cruise insist on a vaccination certificate for whatever mythical disease the government thinks up ? Without this guarantee I will not be booking .,mandatory unnecessary
1566,1283593631694295042t, That includes this Moderna vac . If they had the real key their execs wouldn ’ t be doing this . ,none
962,1336612469888995333t,2 people that had the Covid vaccine yesterday have had allergic reactions . It ’ s now being said anyone with allergies shouldn ’ t receive it . Yep I thought as much .,side-effect
337,1312954542187851782t,  This vaccine that Oxford have in the making is causing more harm than good . Its heavily centered on spinal column genes and causes paralysis . What if there is one vaccine for the useless eaters and one vaccine for the useful slaves ? Keep the farmers and discard the liabilities .,side-effect
4259,1297717329300729856t, I don't know about the #MAGAZombie crowd but there ain't no way in HELL I would risk taking a vaccine from the #RiggerInChief,none
3797,1354810208652988419t,"Person died hours after receiving the vaccine . Can't sue the drug makers , so Big Pharma can shoot you with anything they want , really . ",side-effect
1211,1298039153188274176t,"Good Lord . I hope this is overridden by our medical community . I will * not * be taking any vaccine that was "" approved "" by shortcuts . Hoping for a REAL , approved , safe vaccine very soon !",rushed side-effect
4392,1346566733025435653t," No , they've been trying to find the vaccine for HIV for over 40 years dololo now it's like what 2 years and there's vaccine for COVID 19 Remember how westerns used vaccines to colonize African , stay woke",conspiracy rushed
332,1330260953171185664t,    Why has it been granted that they are exempt from any issues arising from taking the vaccine ? If it is 100 % safe and has been properly tested then surely this isn't necessary,pharma rushed
6805,1353744294109130752t," I'm thinking it will be hard to prove the vaccine prevents deaths , becuase the people who supposedly die from Covid are scheduled to die anyways . The large majority of deaths are over 80 yrs old . Look at Norway , 29 vaccine death , no wait , 0 , those were about to die anyway .",side-effect
7840,1403787811367440384t, What's up FDACBER ? Why in the world would Covaxin need another trial ? Do you think it is not safe ? Not effective ? Not inherently effective against variants ( like Delta variant ) ? Or is this just a stalling technique on behalf of your favorite vaccine maker ? ? #Covaxin ,ineffective
4618,1352793734342189057t," There's no data or evidence so far this "" vaccine "" even stops people getting covid or stops it being passed on . Not even those making it deny this fact . Aside from that yes Sturgeons fully on board with it being great yet failing - yet again .",ineffective
1585,1336735342381166592t,The Pfizer vaccine triggered anaphalactic shock in 2 people who carry an Epipen and were allergic to everything . Fuxake ... People are going full karen over it ...,side-effect
3878,1327989371459526657t,"It ’ s so hard to say this without sounding anti - vax , but my confidence about a vaccine in the near future is basically zero . When is the last time America made something widely available that works the first time around . What are the odds Pfizer just does Theranos but bigger",ineffective
8513,1366816121282834432t," This vaccine thing is starting to become more and more of a joke honestly , just nonsense . It ’ s like they don ’ t know what they ’ re doing . Why rush to release something that ’ s clearly not effective enough , so many problems with this Covid vaccine . No wonder no one wants trusts it",ineffective rushed
861,1232795458734624768t,HPV virus is not spread in school settings . Making school attendance conditional on getting HPV vaccine is unwarranted & intrusive . No #HB4870 #governmentoverreach #parentalrights #papsmearswork #standforhealthfreedom #NoHPVmandates    ,mandatory
9127,1355817527469891587t,Too much secrecy shrouded in the vaccine deal as big Pharma companies continue to suck Africa dry  #vaccination #VaccineforSouthAfrica #AstraZeneca #astrazenecavaccine,pharma
4121,1430812707255554050t,Channel 7 journalist hospitalised with pericarditis after Pfizer vaccine Just like 275 Israelis who developed Myocarditis after pfizer vaccine .  via ,side-effect
8641,1254878470645186560t,  This site the number of people who have been injured by vaccine . Then Compare death by illness at cdc with death by vaccine . 😬,side-effect
6233,1306307932183834624t,"   Probably why the original SARS vaccine , that at least one COVID vaccine is based on , never really worked , as far as I've heard . 🤷 ‍ ♀ ️",ineffective
5803,1308805743785566208t,"Do you really want / trust a #CovidVaccine from #JohnsonAndJohnson ? Forget Trump : This 🔽 🔽 🔽 #Johnson & Johnson Faces Around 50000 Lawsuits Related To Talc , Hip - Plant , Artificial Hips , And Blood Thinner Xarelto . "" ",pharma
4337,1382505691441627137t,"News of stopping use of Johnson & Johnson vaccine in America , serious threat of blood clotting was coming ",side-effect
111,1330406857773621249t,I'd rather take the Wario MDMA pills than a rushed Pfizer vaccine,rushed
9793,1337483803669929984t,  WH orders FDA chief to Authorize Pfizer's Vaccine today or Resign ! ! ! This why I WILL NOT get a vaccine until trump is gone ! ! ! ,political
5228,1255592155852288002t,   Oh yeah well the Chinese beat 50000 dogs to death with sticks that doesn ’ t make it right or good I ’ ain ’ t scared of the shit This whole thing was overblown on purpose for a reaction to see how fast and readily the people comply wait till they force - feed you the vaccine,mandatory unnecessary
7949,1252774081436569600t,  another reason it would be a serious mistake to randomly give covid vaccines . not to mention covid causes a prion disease . wtf would give a vaccine with weakened prion disease . Gates is out of his mind .,side-effect
4959,1295295635168665602t,AstraZeneca to be exempt from coronavirus vaccine liability claims in most countries | Article [ AMP ] | Reuters - Really ? Let the politicians get vaccinated first ! The rest of the world will wait & see if there are any side effects in 4 years ’ time ! 👎 ,pharma side-effect
8456,1309326947693080580t, Death people and corona Trump keeps spreading the virus never did anything and never going to do anything waiting to do business with a non existent vaccine 🤢 🤮 😷 😷,political
6957,1353753866513354756t,I heard of about 6 deaths from people who took that vaccine and they keep tryna say that shit is not connected to the deaths .. yeah tf Ard,side-effect
873,1333143726919720968t,"   It ’ s possible to have chips which are a nanometre in size . Anyhow , would you be happy taking a vaccine which has been created and tested in ~ 10 months ? I ’ m sure as hell not",ingredients rushed
2949,1366752325520531461t,Johnson & Johnson Single Shot Vaccine Efficacy Remains Under Public Scrutiny ,ineffective
3713,1336302432654139393t," The flu expired from Covid , what a great tweet ! . Heard the vaccine is being made by a company that is owned by the same people that freely gave us the Chinese Disease . That's right . China . You have contacts greater than I . Check this out for all the "" small time "" tweeters . Thanks .",country
8103,1102201170855161858t,"  Efforts to shift attention to genetic causes is unethical . Vaccine safety has not been adequately investigated . Also , use of a surgical clamp on the umbilical cord immediately after birth is clearly wrong . The cord cannot be unclamped to restore postnatal placental respiration .",rushed side-effect
1412,1334927221006495746t, The  CEO isnt even sure that the #vaccine will work ! The UK gov jumped the gun too quickly in accepting it . Not worth the risk for people in the north . 👇 👇 ,ineffective
6965,1349397281523576835t," So let him stick him in his balls or himself in public throughout the country , through all channels . One thing is clear - the Russian vaccine is the most unsafe vaccine that can kill the population .",country
9266,1382993443224485890t,The medical community is racing to understand why six people developed blood clots in their brains after receiving the Johnson & Johnson vaccine . ​ ,side-effect
3527,1354180819506487296t,"How do we know for sure the safety and effectiveness of the covid 19 vaccine . With all the bs and the bias media - how do we know whether to believe them . I ’ ll do my own research , as usual",ineffective side-effect
4314,1301179775612940288t,UNFORTUNATELY PLANNED PLANDEMIC BY WORLD ECONOMIC FORUM DAVOS ELITES DEPOPULATION PROGRAM AND HUMAN STERILIZATION EXISTS FOR DECADES EUGENICS DO YOUR RESEARCHS TRANSHUMANISM VACCINES BILL GATES WAS IN CANADA LAST WEEK ALL RELATED CANSINO MODERNA GAVI ,conspiracy side-effect
9160,1339269621103390722t,"Just to let y ’ all know , the way they conducted the Pfizer trials is so BS , there ’ s no way they know they know for sure the vaccine is 95 % effective because their trials were bullshit .",pharma
739,1341158823839604744t,"  Everyone start leaving sticky notes , post index cards on community bulletin boards & stick flyers everywhere more people will see the truth 🙏 even a sticky note on a bathroom stall door “ don ’ t get the vaccine it will alter your DNA that ’ s its purpose ” do not fear covid ! Start now",conspiracy side-effect
153,1353778078485540864t,"  Hmmmm . If you ’ re happy to have an mRNA vaccine injected into you , never used before , trials not due for completion until 2023 , longterm problems unknown , ADE a known potential problem . Also , not likely to prevent transmission of Covid . Pretty damn useless in under 60 ’ s !",ineffective
7741,1364991288672727045t,Gates Admits 700000 People May Die from his Vaccine  this is an old video but shows you Bill Gates just seems to lack idk what the word is he is cold lacking & well we may lose 70000 people from this vaccine but hey .. he always talks with his hands ..,ineffective
8037,1335625866857095172t," : Their PR released little safety . Announced 2 mths and incomplete data . Revealed are "" solicited "" symptoms + 7D dose . 0 data on AE / SAE , severity , dropouts , med attended , relationship , intermittent or continuous , & resolution  ",side-effect
3859,1257226988248580097t,"Most people don't realize that the chance that there ever will be a vaccine against Covid 19 is at best 50 / 50 . Saying we can't return to normal without a vaccine therefore means a 50 / 50 chance of permanent eternal martial law , the definite end of civil rights . Eternal communism .",ineffective
273,1254764538936745984t,"There will not be a vaccine for Chinese Bat Soup Flu AKA COVID - 19 , just like there is not a vaccine for AIDS . Reality , Deal with it . Live your life . Oh and a society that wears masks of any kind , is a society that is fed constant fear propaganda . Not the way I want to live .",country
4423,1319305070777929731t,"Dr Hilleman , father of #Mercks vaccine program , warns that exposure 2 #mercury in some #vaccines may harm kids : ",ingredients side-effect
3670,1220905860408344577t, #coronoavirus is a man made virus . #investigate Interesting that the Gates family are again connected and will develop a vaccine . Remember Gates had a vaccine for Zika before it was out ... 🤨,conspiracy pharma
5000,1335185540103118852t,"  And none of them are working , Brazil cancelled it's trials due to adverse effects . CCP just bought millions of doses of the Russian Sputnik vaccine . Time to give up on China getting a safe / trustworthy vaccine out .",rushed side-effect
1543,1353717395928588291t,"I ’ m sorry , what ? The side effect profile for the second vaccine shot is FAR worse than the first - and now  is saying the vaccine isn ’ t properly protective against the new variant and pushing a THIRD shot ? At the least regulators should demand large scale trials . ",side-effect
3205,1368636250723323907t,How many incidences and bad batches are there out there I wonder ? EXPERIMENTAL VAX 🤦 🏻 ‍ ♀ ️ 💔 🤬 Austria Suspends AstraZeneca COVID - 19 Vaccine Batch After Death ,side-effect
4708,1286166166474555393t,"This is good news , but we're worried it will then add to the pressure to deem the vaccines acceptable . See : U . S . agrees to pay Pfizer and BioNTech $ 2 billion for 100 million doses of coronavirus vaccine  ",mandatory pharma
156,1347952021505191937t,Four Deaths in #Elderly Reported From 3 Countries During First Days of Vaccine Rollout . #COVID19 #Vaccine #Reactions   ,side-effect
3036,1290606509345341441t,"  Any vaccine cannot possibly be tested for long term safety , these things normally take years to test . How will it be effective ? They cant even cure the common cold after years of research so what makes you believe they can cure Covid in a few months ? No thanks .",rushed
4467,1333559446946148359t, Court cases started in India with volunteers who tested the novel C19 vaccine by AstraZeneca & suffered adverse reactions . Despite this European Commission president Ursula von der Leyen said the Commission will authorise a contract for up to 300 million doses of it . #nothanks ,side-effect
3060,1292901040166178817t,"This Could Be the Ace in the Hole for Johnson & Johnson's COVID - 19 Vaccine  J & J hid baby powder cancer connection for decades but we should trust them now for liability free , never before used , self tested vax ? You first , #VaccinesWork",pharma rushed
4758,1339510463432962048t,"2 Alaska health workers got emergency treatment after receiving Pfizer ’ s vaccine . One of the workers , who did not have a history of allergies , remained in the hospital on Wednesday night . Reactions to the vaccine were also reported last week in Britain ",side-effect
1319,1355820799928774658t," Vaccine corruption is soon in the making , if not already ! ! !",political
2523,1442924815149453313t,"2 / 1 "" A woman died in New Zealand after being vaccinated with Pfizer , the Telegraph writes . The case was reported by the health ministry after an independent body investigated the cause of the woman ’ s death . "" ",side-effect
6217,1374028161743253504t, Healthy people in their 20 ’ s are getting vaccinated in other states ... there better be some Pfizer left when its my turn bc i ’ m not getting that knockoff canal street J & J shit,pharma
2728,1304797754003054594t,"Nope nope nope ! ! You don ’ t just resume a phase III trial in a few days after someone becomes seriously ill . This is not robust or safe vaccine development . No , no , no . Do not trust Astra Zeneca .",side-effect
6181,1433140721968635906t,Eric Clapton almost died from the AstraZeneca Vaccine . It ’ s very serious .,side-effect
3385,1362628679239684098t,   My Dad died after the Modern vaccine . Organs started shutting down . Doctor said no real proof it was the vaccine . He has covid in August . He should not have gotten it . He would still be alive had he not taken it .,side-effect
9519,1339303276186099712t,"   I mean if you have 50 million people getting the shot it ’ s going to happen people will die within a few days of it , because bad things happen relatively often when large numbers are involved , completely ridiculous to worry about this stuff .",side-effect
